@relation iris-weka.filters.supervised.instance.SMOTE-C1-K5-P300.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P300.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P300.0-S1-weka.filters.supervised.instance.Resample-B0.0-S42-Z100.0-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F2

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
5.094086,3.409514,1.518285,0.317802,Iris-setosa
4.913003,3.4,1.510369,0.2,Iris-setosa
5.661097,3.80236,1.666112,0.305232,Iris-setosa
5.717031,3.879617,1.518973,0.230337,Iris-setosa
4.41685,3.011571,1.426133,0.2,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
5.28697,3.4,1.472486,0.332297,Iris-setosa
5.049145,3.557122,1.4,0.2,Iris-setosa
5,3.5,1.6,0.6,Iris-setosa
4.686979,3.2,1.384566,0.2,Iris-setosa
5.094086,3.409514,1.518285,0.317802,Iris-setosa
4.8,3.4,1.694989,0.2,Iris-setosa
4.8,3,1.4,0.1,Iris-setosa
4.493953,3.027795,1.421066,0.2,Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa
5.2,3.47305,1.405354,0.2,Iris-setosa
4.869831,3.2,1.200591,0.2,Iris-setosa
5,3.5,1.3,0.3,Iris-setosa
5.434367,3.447557,1.35264,0.344707,Iris-setosa
4.646631,3.1,1.503833,0.2,Iris-setosa
5.646401,4.385183,1.358369,0.4,Iris-setosa
4.9,3,1.4,0.2,Iris-setosa
5,3.330067,1.468439,0.2,Iris-setosa
5.4,3.9,1.505972,0.4,Iris-setosa
4.9,3.077054,1.465989,0.184325,Iris-setosa
5.103267,3.5,1.425906,0.2,Iris-setosa
5,3,1.6,0.2,Iris-setosa
5.289047,3.792989,1.5,0.220793,Iris-setosa
5,3.4,1.5,0.2,Iris-setosa
5.211717,3.4,1.43915,0.302353,Iris-setosa
5.430319,4.182117,1.448396,0.114755,Iris-setosa
5.625612,4.228575,1.419292,0.322254,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
5.034364,3.402614,1.59964,0.373741,Iris-setosa
5.2,3.456587,1.422265,0.2,Iris-setosa
5.233246,3.425572,1.571886,0.2,Iris-setosa
4.311326,2.90437,1.26269,0.113755,Iris-setosa
5.476141,3.854478,1.402553,0.38794,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa
5.260902,3.638742,1.5,0.2,Iris-setosa
5.1,3.8,1.6,0.2,Iris-setosa
4.8,3.137413,1.776268,0.2,Iris-setosa
4.762779,3.296153,1.839384,0.2,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa
4.4,3,1.3,0.2,Iris-setosa
5.056063,3.397472,1.415302,0.2,Iris-setosa
5.2,3.5,1.5,0.2,Iris-setosa
5.2,3.5,1.5,0.2,Iris-setosa
5.476141,3.854478,1.402553,0.38794,Iris-setosa
5.717031,3.879617,1.518973,0.230337,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa
5.068908,3.351857,1.240743,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa
4.741254,3.1,1.565635,0.2,Iris-setosa
4.6,3.269137,1.4,0.27341,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
5.112405,3.764688,1.530753,0.2,Iris-setosa
5.1,3.8,1.6,0.2,Iris-setosa
5.098185,3.371919,1.431415,0.2,Iris-setosa
5.135641,3.478036,1.4,0.2,Iris-setosa
5.2,3.458649,1.453439,0.2,Iris-setosa
5.190122,3.882563,1.839918,0.4,Iris-setosa
5,3.409965,1.555165,0.283129,Iris-setosa
4.6,3.390277,1.4,0.227001,Iris-setosa
6.225425,3.02683,4.669576,1.438352,Iris-versicolor
6.503797,3.10258,4.7,1.528943,Iris-versicolor
6.100523,2.87599,4.04583,1.3,Iris-versicolor
6.074139,2.823663,4.720526,1.417667,Iris-versicolor
5.8,2.602646,3.978768,1.2,Iris-versicolor
6.621059,3.022003,4.424639,1.439623,Iris-versicolor
6.447837,2.812471,4.423732,1.405851,Iris-versicolor
6.233509,3.225572,4.735943,1.656702,Iris-versicolor
5.453358,2.974178,4.5,1.463936,Iris-versicolor
6.233476,3.033227,4.572204,1.497515,Iris-versicolor
5.8,2.7,4.1,1,Iris-versicolor
5.630041,2.782563,4.290123,1.3,Iris-versicolor
5.909658,3.228871,4.637839,1.698271,Iris-versicolor
5.7,2.896588,4.170451,1.255996,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
5.5,2.460813,3.847813,1.194411,Iris-versicolor
6.777349,2.89563,4.69154,1.386245,Iris-versicolor
5.074337,2.464551,3.205053,1.064401,Iris-versicolor
6.662806,3.014287,4.4,1.4,Iris-versicolor
6.7,3.1,4.4,1.4,Iris-versicolor
5.78902,2.505515,3.9,1.163633,Iris-versicolor
6.501538,2.871799,4.551504,1.419884,Iris-versicolor
5.602246,2.579402,3.910038,1.181894,Iris-versicolor
5.759388,2.832986,3.773809,1.24786,Iris-versicolor
5.5,2.4,3.7,1,Iris-versicolor
5.7,2.896588,4.170451,1.255996,Iris-versicolor
5.8,2.6,4,1.2,Iris-versicolor
6.853874,3.108604,4.7,1.4369,Iris-versicolor
5.630041,2.782563,4.290123,1.3,Iris-versicolor
6.511017,2.994467,4.52239,1.429008,Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor
5.602246,2.579402,3.910038,1.181894,Iris-versicolor
6.1,2.996364,4.634401,1.4,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
5.630041,2.782563,4.290123,1.3,Iris-versicolor
6.082939,2.688032,4,1.211776,Iris-versicolor
5.508287,2.93575,4.336501,1.463031,Iris-versicolor
5.675017,2.800247,4.2,1.3,Iris-versicolor
5.759388,2.832986,3.773809,1.24786,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor
5.775158,2.25358,3.81043,1.037365,Iris-versicolor
5.479829,2.350263,3.343336,1,Iris-versicolor
5.1,2.5,3,1.1,Iris-versicolor
5.647566,2.521258,3.69317,1,Iris-versicolor
6.898932,3.051687,4.882195,1.44596,Iris-versicolor
5.7,2.896588,4.170451,1.255996,Iris-versicolor
4.9,2.4,3.3,1,Iris-versicolor
5.775158,2.25358,3.81043,1.037365,Iris-versicolor
6.621059,3.022003,4.424639,1.439623,Iris-versicolor
6.173559,3.322472,4.5,1.509189,Iris-versicolor
5.52288,2.498376,3.941375,1.107557,Iris-versicolor
6,2.2,4,1,Iris-versicolor
6.447837,2.812471,4.423732,1.405851,Iris-versicolor
5.778813,2.7,4.160103,1.159237,Iris-versicolor
5.686248,2.863664,4.1,1.3,Iris-versicolor
4.967396,2.372664,3.3,1,Iris-versicolor
6.257485,2.20182,4.538396,1.5,Iris-versicolor
5.689059,2.965458,4.150281,1.3,Iris-versicolor
5.686248,2.863664,4.1,1.3,Iris-versicolor
6.061457,2.9,4.314435,1.347933,Iris-versicolor
6.9,3.1,4.9,1.5,Iris-versicolor
5.5,2.322319,3.758534,1.17771,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
5.7,2.6,3.5,1,Iris-versicolor
6.140664,2.783171,4.806782,1.419668,Iris-versicolor
5.52288,2.498376,3.941375,1.107557,Iris-versicolor
6.4,2.8,5.6,2.185245,Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica
6.890342,3.2,5.808107,2.3,Iris-virginica
7.9,3.8,6.4,2,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
7.683631,3,6.281251,2.101752,Iris-virginica
5.9,3,5.1,1.8,Iris-virginica
6.325612,3.371425,5.380708,2.3,Iris-virginica
6.5,3,5.2,2,Iris-virginica
6.135572,2.625822,5.238472,1.418032,Iris-virginica
6.733246,3.174428,5.635943,2.371649,Iris-virginica
6.323316,2.811009,5.6,1.977714,Iris-virginica
7.476141,2.708957,6.305106,1.948239,Iris-virginica
6,3,4.8,1.8,Iris-virginica
5.640612,2.8,4.984128,2.191441,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
7.7,2.998787,6.157593,2.271064,Iris-virginica
6.498462,2.928201,5.751504,2.119884,Iris-virginica
6.84407,3.2,5.938805,1.945038,Iris-virginica
6.615764,3.166009,5.6,2.4,Iris-virginica
6.417866,3.194073,5.229185,2.216667,Iris-virginica
5.998185,3,5.005755,1.8,Iris-virginica
7.381327,2.870793,6.513563,1.839336,Iris-virginica
4.9,2.5,4.5,1.7,Iris-virginica
7.423655,2.921081,6.390298,2.038609,Iris-virginica
7.439661,3,6.098817,2.118377,Iris-virginica
6.4,2.8,5.6,2.193013,Iris-virginica
6.772596,3.051706,5.259098,2.188008,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
